stop_name,bus_boardings,integration_index,neighborhood
BROADHEAD-FORDING RD OPP VILLAGE RD #2,190.0,0.0,Fairywood
SUMMIT PARK DR OPP #20,290.0,0.0,Unknown
CEDAR BLVD AT GREENHURST DR,50.0,0.0,Unknown
N CHARLES ST AT BIZET ST,50.0,0.0,Perry South
LEBANON RD AT SOUTH HILLS INDUSTRIAL PARK,50.0,0.0,Unknown
WASHINGTON AVE AT CHARTIERS ST FS,380.0,0.0,Unknown
BOWER HILL RD OPP PAINTERS RUN RD FS,100.0,0.0,Unknown
SOUTHERN AVE AT PROSPECT ST,50.0,0.0,Mount Washington
CENTER AVE OPP YALE AVE,50.0,0.0,Unknown
STANTON AVE AT DEMARILLAC HOME,760.0,0.0,Stanton Heights
MIFFLIN RD AT SLATE ST,50.0,0.0,New Homestead
EDEN PARK BLVD AT VICTORY DR,50.0,0.0,Unknown
FOREST AVE OPP #1055,50.0,0.0,Unknown
MIDDLE AVE AT #644,50.0,0.0,Unknown
SHADY AVE OPP HOBART ST,50.0,0.0,Squirrel Hill South
E CARSON ST AT S 27TH ST,240.0,19.975848010031896,South Side Flats
E CARSON ST AT S 28TH ST,140.0,6.2057849240282055,South Side Flats
LAWRENCEVILLE SHOPPING CTR (BO,140.0,0.0,Upper Lawrenceville
MERCHANT ST AT 6TH ST,100.0,0.0,Unknown
CALIFORNIA AVE AT HOME AVE,100.0,0.0,Unknown
NEGLEY AVE OPP RIPPEY ST FS,100.0,0.0,Garfield
WASHINGTON PIKE AT MAYER ST,100.0,0.0,Unknown
UNIVERSITY BLVD AT ROBERT MORRIS,100.0,0.0,Unknown
SUMMIT PARK DR AT CHAUVET DR #1,50.0,0.0,Unknown
PENN AVE OPP CARNEGIE PL,140.0,0.0,Point Breeze North
SALTSBURG RD AT HULTON RD NS,100.0,0.0,Unknown
WASHINGTON PIKE OPP GREAT SOUTHERN SHPG CTR,100.0,0.0,Unknown
BROOKLINE BLVD OPP CASTLEGATE AVE,100.0,0.0,Brookline
BABCOCK BLVD AT MCCANDLESS CROSSING,50.0,0.0,Unknown
UNIVERSITY BLVD AT CARNOT RD,190.0,0.0,Unknown
BROOKLINE BLVD AT FLATBUSH AVE,100.0,0.0,Brookline
UPMC EAST DRIVE OPP HOSPITAL,100.0,0.0,Unknown
EDGEWOOD AVE AT COLUMBIA AVE,50.0,0.0,Unknown
MARSHALL AVE AT CALIFORNIA AVE,50.0,0.0,Marshall-Shadeland
SHADELAND AVE AT CASEMENT ST,50.0,0.0,Marshall-Shadeland
HELEN ST AT CATHERINE ST,240.0,0.0,Unknown
FAIRHAVEN RD AT KENMAWR PLAZA ENTRANCE (SHELTE,240.0,0.0,Unknown
STANTON AVE AT BUTLER ST FS,50.0,1.4745526738496595,Central Lawrenceville
MANHATTAN ST AT PENNSYLVANIA AVE,240.0,0.0,Manchester
WOOD ST AT MOOSEHEART ST,50.0,0.0,Unknown
BANK ST AT DEWEY AVE,140.0,0.0,Unknown
LOWRIE ST AT CLAIM ST,140.0,0.0,Troy Hill
WHITAKER WAY AT LARKSPUR ST,50.0,0.0,Unknown
WORTHINGTON AVE AT HWY RT 51,100.0,0.0,Unknown
GREENTREE RD AT PARKWAY CENTER DR SOUTH,190.0,0.0,Unknown
PITTSBURGH ST AT ORCHARD ST,50.0,0.0,Unknown
STEUBEN ST AT HARKER ST,50.0,0.0,Elliott
BEVERLY RD AT MEADOWCROFT AVE,100.0,0.0,Unknown
CRAIG ST AT BIGELOW BLVD FS,50.0,0.0,North Oakland
GRANDVIEW AVE AT PLYMOUTH ST,140.0,0.0,Duquesne Heights
ISLAND AVE OPP GLENN WAY,50.0,0.0,Unknown
OHIO RIVER BLVD OPP SHILOH AVE,50.0,0.0,Unknown
SOUTH BUSWAY AT INGLEWOOD SHELTER,50.0,0.0,Overbrook
FRANKSTOWN RD AT BARTHOLOMEW CHURCH DR,480.0,0.0,Unknown
CRAWFORD AVE AT CATHERINE ST,710.0,0.0,Unknown
ST JOSEPH ST OPP ORMSBY ST,140.0,0.0,Mt. Oliver
KATHLEEN ST AT CRAIGHEAD ST,140.0,0.0,Mount Washington
PIONEER AVE AT SOUTHCREST DR,50.0,0.0,Brookline
ELECTRIC AVE AT NORTH AVE,100.0,0.0,Unknown
FRANKSTOWN RD AT CHAMPA ST,50.0,0.0,Unknown
JANCEY ST AT BRYANT ST,100.0,0.0,Morningside
N CHARLES ST OPP IRWIN AVE,50.0,0.0,Perry South
MT ROYAL BLVD AT ELFINWILD LN,50.0,0.0,Unknown
SHADELAND AVE AT DAVIS AVE FS,330.0,0.0,Brighton Heights
MAIN ST AT ELIZABETH ST,50.0,0.0,Unknown
W PROSPECT AVE OPP ALLEGHENY VALLEY SCHOOL,50.0,0.0,Fairywood
BUTLER ST AT 62ND ST BRIDGE FS,100.0,0.0,Upper Lawrenceville
JANCEY ST AT STANTON AVE,330.0,0.0,Morningside
ROBINSON BLVD AT SUNRISE AVE,50.0,0.0,East Hills
WINTERBURN AVE AT GREENFIELD AVE,50.0,0.0,Greenfield
GREENSBURG PIKE AT CENTRAL AVE FS,100.0,0.0,Unknown
FOSTER AVE OPP WILLOW AVE (PLAYGROUND),50.0,0.0,Unknown
BEVERLY RD AT PARKER DR,50.0,0.0,Unknown
PIONEER AVE AT BELLBROOK ST,50.0,0.0,Brookline
BRINTON AVE OPP TERRACE ST,50.0,0.0,Unknown
WOLFE AVE AT MARY ST,100.0,0.0,Unknown
CLIMAX ST AT HABERMAN AVE,140.0,0.0,Beltzhoover
CAMP HOLLOW RD AT LIVINGSTON RD FS,50.0,0.0,Unknown
PIONEER AVE AT METZ WAY,100.0,0.0,Brookline
SOUTHERN AVE AT MINSINGER ST,50.0,0.0,Mount Washington
JOHNSTON AVE AT BROADVIEW DR FS,50.0,0.0,Glen Hazel
SALTSBURG RD OPP STOTLER RD,50.0,0.0,Unknown
WESTINGHOUSE AVE AT HERMAN AVE,50.0,0.0,Unknown
FREEPORT RD OPP 1ST ST FS,100.0,0.0,Unknown
GRANT ST AT LIBERTY AVE FS (FED BLDG),100.0,3.5556146082762075,Central Business District
COMMONWEALTH AVE OPP RITE AID,140.0,0.0,Unknown
MAIN ST AT HOMESTEAD DUQUESNE RD,50.0,0.0,Unknown
WALNUT ST AT 7TH AVE FS,100.0,0.0,Unknown
HOMEWOOD AVE AT HERMITAGE ST,50.0,0.0,Homewood North
JANCEY ST AT #1853,140.0,0.0,Morningside
MT ROYAL BLVD OPP CAMPBELL PL,50.0,0.0,Unknown
COCHRAN RD AT ALTOONA PL,50.0,0.0,Unknown
PIONEER AVE AT NORTHCREST DR,50.0,0.0,Brookline
PIONEER AVE RAMP AT PIONEER AVE,100.0,0.0,Brookline
WEST LIBERTY AVE OPP PAULINE AVE,50.0,0.0,Brookline
ARDMORE BLVD AT BEVINGTON RD FS,100.0,0.0,Unknown
BEECHWOOD BLVD AT TILBURY AVE,240.0,0.0,Squirrel Hill South
JANCEY ST AT #1842,50.0,0.0,Morningside
LARIMER AVE AT SHETLAND ST,50.0,0.0,Larimer
RANKIN BLVD AT #211,50.0,0.0,Unknown
SHADY AVE AT DARLINGTON RD,100.0,0.0,Squirrel Hill South
LARIMER AVE AT AUBURN ST,50.0,0.0,Larimer
PITTSBURGH ST OPP MOYHEND ST,50.0,0.0,Unknown
MT ROYAL BLVD AT UNDERCLIFF ST,50.0,0.0,Unknown
FOX CHAPEL RD OPP S MARGERY DR,50.0,0.0,Unknown
CONNISTON AVE AT GOSSER ST,50.0,0.0,Bon Air
WALNUT ST OPP CENTER ST,50.0,0.0,Unknown
BERRY ST AT WINDGAP AVE,140.0,0.0,Windgap
CHARTIERS AVE AT CORLISS ST,240.0,0.0,Crafton Heights
GRAND AVE OPP PITTSBURGH RECYCLING CENTER,50.0,0.0,Unknown
GREENTREE RD OPP RYAN DR,50.0,0.0,Unknown
HELEN ST AT CATHERINE ST,140.0,0.0,Unknown
HELEN ST AT SPROUL ST,140.0,0.0,Unknown
LINDSAY RD AT #723,50.0,0.0,Unknown
RIVER AVE AT MARINA,100.0,0.0,Unknown
JEFFERSON DR AT MCCOY RD,50.0,0.0,Unknown
HELEN ST AT ELLA ST FS,670.0,0.0,Unknown
GREENTREE RD OPP VIRGINIA MANSIONS FS,50.0,0.0,Unknown
CORAOPOLIS RD OPP HERBST RD,100.0,0.0,Unknown
GRAND AVE AT #3000 (HOLDEN CORP),50.0,0.0,Unknown
BOWER HILL RD OPP SOMERVILLE DR,50.0,0.0,Unknown
BROOKLINE BLVD OPP ALTMAR ST,240.0,0.0,Brookline
COCHRAN RD OPP ROBINWOOD DR,50.0,0.0,Unknown
PIONEER AVE OPP ROSSMORE AVE,50.0,0.0,Brookline
VANADIUM DR AT VOLUNTEER FIRE COMPANY,50.0,0.0,Unknown
WASHINGTON AVE AT STATION ST NS,190.0,0.0,Unknown
CLIMAX ST AT CURTIN AVE,100.0,0.0,Beltzhoover
MIDDLE AVE AT BRIDGE ST,50.0,0.0,Unknown
SECOND AVE OPP BRADY ST,50.0,0.0,South Oakland
LAKETON RD OPP CHURCHILL AVE,50.0,0.0,Unknown
JOSEPHINE ST AT #3033,100.0,0.0,South Side Slopes
AGNEW AVE AT BECKS RUN RD,50.0,0.0,Carrick
CUSTER AVE AT JOSEPH ST,50.0,0.0,Unknown
CHURCHVIEW AVE AT DONAHUE DR NS,50.0,0.0,Unknown
SPENCER AVE AT BEAU ST,50.0,0.0,Carrick
CLOVERFIELD DR AT AGNEW RD,50.0,0.0,Unknown
SPENCER AVE AT CUSTER AVE,50.0,0.0,Carrick
LEECHBURG RD AT RICHEY DR,50.0,0.0,Unknown
CHURCH ST AT BRADDOCK AVE NS,100.0,0.0,Unknown
PROVOST RD OPP WHITEHALL CIR,50.0,0.0,Unknown
CENTER AVE AT WALLISTON AVE,100.0,0.0,Unknown
EDGEWOOD TOWNE CENTRE AT RENT WAY,50.0,0.0,Unknown
AGNEW RD AT ACADEMY CHARTER SCHOOL DRVWY,50.0,0.0,Unknown
MOUNTAIN AVE AT SCHULER ST,140.0,0.0,St. Clair
KENDALL AVE OPP WATSON AVE,50.0,0.0,Unknown
AGNEW RD AT PENN ST FS,50.0,0.0,Unknown
BEECHWOOD BLVD AT #3911,140.0,0.0,Greenfield
CENTER RD AT COTTAGE LN,50.0,0.0,Unknown
TILBURY AVE OPP WALDRON ST FS,140.0,0.0,Squirrel Hill South
BROWNSVILLE RD OPP NATIVITY CHURCH,50.0,0.0,Unknown
26TH ST AT PENN AVE FS (SPRING WAY),100.0,2.9370870994028953,Strip District
32ND ST AT SPRING WAY,190.0,6.935143765460166,Strip District
40TH ST AT BUTLER ST,50.0,1.5540474281320644,Lower Lawrenceville
40TH ST AT DAVIDSON ST FS,100.0,2.9379435894181842,Central Lawrenceville
4TH ST AT COREY AVE,50.0,0.0,Unknown
FIFTH AVE AT AIKEN AVE,100.0,2.2228020352393187,Shadyside
FIFTH AVE AT AMBERSON AVE,50.0,0.0,Shadyside
FIFTH AVE AT BEECHWOOD BLVD,100.0,3.134521517774367,Point Breeze
FIFTH AVE AT BELLEFIELD AVE,330.0,18.166824067733316,North Oakland
FIFTH AVE AT BELLEFIELD AVE,330.0,18.956015714694434,North Oakland
FIFTH AVE AT BELLEFONTE ST,290.0,8.6930880690827,Shadyside
FIFTH AVE AT UNIVERSITY PL,1240.0,73.04483373583697,North Oakland
FIFTH AVE AT BIGELOW BLVD (PITT),1520.0,68.07070444628438,North Oakland
FIFTH AVE AT BIRMINGHAM BRIDGE,50.0,0.0,Bluff
FIFTH AVE AT BRENHAM ST FS,50.0,0.0,West Oakland
FIFTH AVE AT CHESTERFIELD RD,2100.0,129.52071341136698,West Oakland
FIFTH AVE AT CRAFT AVE (CARLOW UNIV),1190.0,26.73204487614547,South Oakland
FIFTH AVE AT CRAIG ST,100.0,5.668342100962866,North Oakland
FIFTH AVE AT CRAIG ST NS,190.0,8.23657790686836,North Oakland
FIFTH AVE AT DINWIDDIE ST,100.0,0.0,Crawford-Roberts
FIFTH AVE AT MCKEE PL FS,1480.0,94.56090819773746,Central Oakland
FIFTH AVE AT HALKET ST,710.0,36.093487013039635,South Oakland
FIFTH AVE AT HIGHLAND AVE,140.0,0.0,Shadyside
FIFTH AVE AT KIRKPATRICK ST FS,50.0,0.0,West Oakland
FIFTH AVE AT MAGEE ST,140.0,0.0,Crawford-Roberts
FIFTH AVE AT MEYRAN AVE,620.0,33.375760180047244,Central Oakland
FIFTH AVE AT OAKLAND AVE,2000.0,675.55296085307,Central Oakland
FIFTH AVE OPP MCPHERSON ST FS,140.0,4.733420935405037,Larimer
FIFTH AVE AT MOREWOOD AVE,140.0,0.0,Shadyside
FIFTH AVE AT MOREWOOD AVE,50.0,0.0,Squirrel Hill North
FIFTH AVE AT MOULTRIE ST,50.0,0.0,Bluff
FIFTH AVE AT MOULTRIE ST FS,50.0,0.0,West Oakland
FIFTH AVE AT NEGLEY AVE,330.0,8.492290100359694,Shadyside
FIFTH AVE AT NEGLEY AVE,290.0,7.544976995487106,Squirrel Hill North
FIFTH AVE AT NEVILLE ST,50.0,4.207084758975804,Squirrel Hill North
FIFTH AVE AT PRIDE ST,1520.0,0.0,Crawford-Roberts
FIFTH AVE AT ROBINSON ST,240.0,0.0,West Oakland
FIFTH AVE AT #2358,100.0,0.0,South Oakland
FIFTH AVE AT SENECA ST,50.0,0.0,Bluff
FIFTH AVE AT SHADY AVE,50.0,0.0,Shadyside
FIFTH AVE AT SHADY AVE,140.0,0.0,Squirrel Hill North
FIFTH AVE AT TENNYSON AVE,2050.0,98.44926374624103,North Oakland
FIFTH AVE OPP TENNYSON AVE,620.0,29.017167898589623,North Oakland
FIFTH AVE AT THACKERAY AVE,2570.0,173.3044851303374,North Oakland
FIFTH AVE AT THOMAS BLVD,100.0,2.4257716262396705,Point Breeze North
FIFTH AVE AT WASHINGTON PL,570.0,0.0,Crawford-Roberts
FIFTH AVE AT WYANDOTTE ST,1050.0,0.0,Bluff
FIFTH AVE AT ATWOOD STATION,5670.0,708.8445995032015,West Oakland
FIFTH AVE OPP BEECHWOOD BLVD,100.0,3.427791385440831,Shadyside
FIFTH AVE OPP BELLEFONTE ST,50.0,1.5044351325639658,Squirrel Hill North
FIFTH AVE OPP CLYDE ST,50.0,1.6949679847838184,Squirrel Hill North
FIFTH AVE OPP COLLEGE ST,50.0,0.0,Squirrel Hill North
FIFTH AVE OPP CRAFT AVE (CARLOW UNIV),2430.0,61.174414583142834,West Oakland
FIFTH AVE OPP GIST ST,50.0,0.0,Crawford-Roberts
FIFTH AVE OPP HIGHLAND AVE,190.0,0.0,Squirrel Hill North
FIFTH AVE OPP MARYLAND AVE,140.0,0.0,Squirrel Hill North
FIFTH AVE OPP #2358,50.0,0.0,West Oakland
FIFTH AVE OPP SENECA ST,380.0,0.0,West Oakland
FIFTH AVE OPP THACKERAY AVE,480.0,39.31910968776349,North Oakland
FIFTH AVE OPP VAN BRAAM ST,380.0,0.0,Crawford-Roberts
5TH ST AT CAVIT AVE,50.0,0.0,Unknown
6TH ST AT BALDRIDGE AVE,520.0,0.0,Unknown
ADELAIDE ST AT CAMP ST,50.0,0.0,Upper Hill
AIKEN AVE AT KINCAID ST,190.0,15.158658914867905,Garfield
AIRBRAKE AVE AT BRIDGE ST,140.0,0.0,Unknown
PENN AVE AT GRANT ST,50.0,0.0,Unknown
AIRBRAKE AVE OPP 1ST ST,50.0,0.0,Unknown
AIRBRAKE AVE AT MILLER ST,50.0,0.0,Unknown
ALCOMA BLVD AT TURNAROUND,140.0,0.0,Unknown
ALLEGHENY RIVER BLVD AT SOUTH AVE,50.0,0.0,Unknown
ALLEQUIPPA ST OPP DARRAGH ST,140.0,31.64997013429434,Terrace Village
ALLEQUIPPA ST AT DARRAGH ST,100.0,18.748286961356218,West Oakland
ALLEQUIPPA ST AT SUTHERLAND DR (PETERSEN CTR),240.0,9.74958367209013,West Oakland
ARDMORE BLVD AT AVE B - FOREST HILLS PARK AND,140.0,0.0,Unknown
ARDMORE BLVD AT BERKLEY AVE,50.0,0.0,Unknown
ARDMORE BLVD AT BRINTON RD,140.0,0.0,Unknown
ARDMORE BLVD OPP BRYN MAWR RD FS,50.0,0.0,Unknown
ARDMORE BLVD AT SUMNER AVE,50.0,0.0,Unknown
ARDMORE BLVD OPP YOST BLVD,100.0,0.0,Unknown
BAKER ST AT BALLARD WAY,100.0,0.0,Morningside
BAKER ST AT BUTLER ST,140.0,0.0,Morningside
BALDRIDGE AVE AT WALNUT ST FS,100.0,0.0,Unknown
BALDRIDGE AVE AT 6TH ST FS (SR HI-RISE),50.0,0.0,Unknown
BAUM BLVD AT CRAIG ST FS,50.0,1.7136881371875927,North Oakland
BAUM BLVD AT ENFIELD ST,190.0,9.236564300290205,Bloomfield
BAUM BLVD AT GRAHAM ST,50.0,1.7445326412746356,Friendship
BAUM BLVD OPP FAIRMOUNT ST FS,50.0,4.5151538333233345,Friendship
BAUM BLVD AT LIBERTY AVE,100.0,0.0,Bloomfield
BAUM BLVD AT LIBERTY AVE FS,100.0,0.0,Bloomfield
BAUM BLVD AT MELWOOD AVE,190.0,6.029727777801235,North Oakland
BAUM BLVD AT MELWOOD AVE FS,50.0,1.5418954262710785,North Oakland
BAUM BLVD AT MILLVALE AVE,50.0,3.3256488128840367,Bloomfield
BAUM BLVD AT MILLVALE AVE,50.0,3.9350810735272885,Bloomfield
BAUM BLVD AT MOREWOOD AVE,140.0,4.052550791383945,Bloomfield
BAUM BLVD AT ENFIELD ST FS,140.0,7.151328497398147,Bloomfield
BEACON ST AT MURRAY AVE NS,190.0,0.0,Squirrel Hill South
BEACON ST AT WIGHTMAN ST,50.0,0.0,Squirrel Hill South
BEATTY ST AT EVA ST,670.0,29.63153871414004,East Liberty
BEATTY ST AT CENTRE AVE,430.0,11.425347614802465,East Liberty
BEATTY ST AT PENN AVE NS,860.0,47.446014447692065,East Liberty
BEDFORD AVE OPP MERCER ST,480.0,0.0,Crawford-Roberts
BEDFORD AVE AT MERCER ST,860.0,0.0,Crawford-Roberts
BEECHWOOD BLVD AT FEDERAL HILL ST,50.0,0.0,Greenfield
BEECHWOOD BLVD AT LILAC ST,290.0,0.0,Greenfield
BEECHWOOD BLVD AT MONITOR ST,50.0,0.0,Greenfield
BEECHWOOD BLVD OPP LORETTA ST,100.0,0.0,Greenfield
BEECHWOOD BLVD AT PARKWAY ENTRANCE,50.0,0.0,Greenfield
BEELER ST AT FORBES AVE,50.0,0.0,Squirrel Hill North
BEELER ST AT WILKINS AVE FS,50.0,0.0,Squirrel Hill North
JONES AVE AT PARKVIEW AVE,50.0,0.0,Unknown
BENTLEY DR AT KIRKPATRICK ST FS,50.0,0.0,Terrace Village
BENTLEY DR AT #1785,290.0,0.0,Terrace Village
BENTLEY DR AT #1784,140.0,0.0,Terrace Village
BESSEMER AVE AT GRANDVIEW AVE,50.0,0.0,Unknown
